# X(m) Y(m) Z(m)
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.668987679295241833e-04 2.100083520417683758e-07 3.773643111344426870e-04
9.753273334354162216e-04 1.320292358286678791e-04 7.322707097046077251e-04
1.406031893566250801e-03 1.638538233237341046e-04 8.956689271144568920e-04
1.369375153444707394e-03 1.851442502811551094e-04 9.971845429390668869e-04
1.547966618090867996e-03 2.127007610397413373e-04 1.073423074558377266e-03
2.562246052548289299e-03 2.407158899586647749e-04 1.276551396586000919e-03
2.677960786968469620e-03 2.722014905884861946e-04 1.366274897009134293e-03
2.639512531459331512e-03 2.914141514338552952e-04 1.437669619917869568e-03
3.800638020038604736e-03 4.222678835503757000e-04 1.864625723101198673e-03
3.662739181891083717e-03 4.388773231767117977e-04 1.947479206137359142e-03
3.629824379459023476e-03 4.134638875257223845e-04 1.917834742926061153e-03
3.975159022957086563e-03 3.849300555884838104e-04 1.943992450833320618e-03
1.568161416798830032e-03 2.918151731137186289e-04 1.551717519760131836e-03
1.495282980613410473e-03 2.407897409284487367e-04 1.493519521318376064e-03
1.640992122702300549e-03 4.192087726551108062e-05 1.400836044922471046e-03
2.523271134123206139e-03 1.676602842053398490e-04 1.710314769297838211e-03
2.719808369874954224e-03 2.046912704827263951e-04 1.790111535228788853e-03
2.828698838129639626e-03 2.291032578796148300e-04 1.838907599449157715e-03
2.918787533417344093e-03 2.500764676369726658e-04 1.880189985968172550e-03
2.921878173947334290e-02 -5.711499601602554321e-03 -5.614735558629035950e-02
